+NS	+NS	﻿+NS	﻿+NS	﻿+1	﻿+1	Хтео бих да купим ову књигу
-1	-1	-1	-1	-1	-1	AKO SE ISKRENO KAJE .... ZBOG SVOG GREHA ONDA MU JE OPROŠTENO ... MADA CRNOGORCI NE ZNAJU NIŠTA O SVOJOJ RELIGIJI ..DO TE KRAJNJOSTI JEDNE NEOBRAZOVANOSTI I NESPOZNAJE ZAPRAVO KO SI .... HIPER MODERNI..... I NEOSVEŠĆENI ....
-M	-M	-1	-M	-1	-1	sram vas sve bilo kako ste nekulturni. On je toliko nivoa iznad vas da VI i da želite ne možete to da shvatite.
-1	-1	-1	-1	-1	-NS	država i naš zakon su davno trebali ovo završiti a ne prepucavati se ko je zakonodavniji (crna gora ili srbija) a ovaj mučenik plaća ceh. osudili ga i ležao zbog toga. šta bi on to sebi trebao uraditi da zakon kaže sad je u redu nije do nas?
-1	-1	-1	-1	-1	+1	ispovest istinita, priča tužna, žarko gord država pukla. sudija bruka, tuga velika...
+M	+M	+1	+1	+1	+1	Žarko Srbine, najjači si... Mogu samo da ti p...
+1	+1	+1	+1	+1	+1	OBOŽAVAM SAJAM
-Ms	+NS	-Ms	-1s	-M	-1	POLAKO, SPAVAĆEŠ U PENZIJI, DO TADA ? POZDRAV ZA SVE VAS VELIKI.
-1s	-1s	-1	-1	-1	-1	Joj, samo si još ti falio...
+NS	+NS	+NS	+NS	+NS	+1	Šrafciger :D
+1	+1	+M	+1	+1	+1	Kakav mu je život, takva je i knjiga. Haotično do krajnjih granica, ali zanimljivo i interesantno. Vredi pročitati.
-1	-1	-1	-1	-1	-1	proklet gvozden bio sa dezinformacijom da gi ima na torentu.
-1	-1	-1	-1	-1	-1	Obično ekranizacija knjige prođe loše. E, pa, ekranizacija "Šume" potvrđuje to pravilo i uništavanje diže na novi nivo...
+1	+1	+1	+1	+1	+1	biće odlično na sajmu, puno izlagača, dešavanja… ulaz je 100 din, a za studente i đake, koji pokažu index, ulaz je besplatan
+1	+1	+1	+1	+1	+1	Vredi posetiti!
-1s	-1s	-1s	-1s	-1s	-1s	zašto ga ne predlože odmah i za nobelovu nagradu za mir za izuzetne doprinose u očuvanju mira na teritoriji SFRJ?
-1	-1	-1	-1	-1	-1	E ovaj je stara komunjara!
-1	-1	-1	-NS	-1	-1	šta će nam ovo na sajtu ovde lol? dax?
+1	+1	+1	+1	+1	+1	Mnogo jak roman. Pun akcije, horora i dobre priče.
+NS	+NS	+NS	+NS	+1	+NS	kada će nastavak?
+1	+1	+1	+1	+1	+1	trenutno je čitam , odlično štivo :)
+1	+1	+1	+1	+1	+1	JAKO MI SE DOPADA SADRŽAJ OVE KNJIGE, JER VOLIM DA ČITAM BIOGRAFIJE.
-1s	-1s	-1s	-1s	+1s	+1	jesss! jelena bačić alimpić ftw!
-1	-1	-1	-1	-1	-1	nažalost u Srbiji je trenutno njena knjiga najčitanija :(
-1s	-1s	-1s	-1s	-1s	+M	au majku mu tek sad shvatih da je prošlo a baš sam hteo sa gospođom da popričam o književnosti
+1	+1	+1	+1	+1	+1	ovo je odlična vest :) murakami moj omiljeni pisac
+1	+1	+1	+1	+1	+1	kontam da ovo vredi imati
+M	+M	+M	+M	+1	+1	knjiga je odlična, najviše mi se dopala "KO je ta devojka" inače nikada nisam volela čitati ali ovu kad sam pročitala čini mi se da sam zavolela knjigu i jako je poučna knjiga… :))
+NS	+NS	+NS	+NS	+1	+1	kažu film je odličan http://www.happynovisad.com/film/legend-of-the-guardians-the-owls-of-gahoole.film.773.html
+1	+1	+1	+1	+1	+1	Ove knjige su super!!
+1	+1	+1	+1	+1	+1	Knjige su strava, imam sve tri!
+NS	+NS	+NS	+NS	+NS	+NS	gde mogu da kupim knjigu? pozdrav!
+NS	+NS	+NS	+NS	+1	+1	još samo pet plus predstavak
+1	+1	+1	+1	+1	+1	stvarno predobar i film i roman
+NS	+NS	+NS	+NS	-1	+1	hahhahaha..
+1	+1	+1	+1	+1	+1	kako dobra sličica :)
-NS	-NS	-NS	-NS	+1	-1	Pa i nije mi prevelik broj, uzimajući u obzir sve jezike i sve narode na Zemlji...
+NS	+NS	+NS	+NS	+NS	+NS	da li postoji neki sajt gde bih mogao da skinem ili pročitam ovu knjigu bez odlaska u prodavnicu?
+NS	+NS	+NS	+NS	+NS	+NS	koliko kosta?
+1	+1	+1	+1	+1	+1	1100, extra je knjiga
+NS	+NS	+NS	+NS	+1	+NS	Ako si član lagune, košta 800! Bila je i na sajmu...
+NS	+NS	+NS	+NS	+1	+NS	koliko strana ima knjiga? ja sam je naručila, treba sutra da mi stigne :))
+NS	+NS	+NS	+NS	+1	+NS	jel ima da se kupi u sarajevu? i od koje je izdavačke kuće, da potražim kad bude neki sajam :)
+M	+M	+M	+M	+M	+M	Extra je moram da je pročitam. Sleš je car. Axl je magarčina.
+1	+1	+1	+1	+1	+1	Knjiga košta 1100, ima oko 560 strana i stvarno je super.
+NS	+NS	+NS	+NS	+NS	+NS	Kako da naručim knjigu?
+NS	+NS	+NS	+NS	+NS	+NS	Može li da se naruči u Crnu Goru i koliko košta
+1	+1	+1	+NS	+1	+1	snažno kupujem :)
+1	+1	+1	+1	+1	+1	Simpatična knjiga, prava letnja lektira. Laganica...
+NS	+NS	+NS	+NS	+NS	+NS	nešto poput "Otkačene Ekonomije" ?
+1	+1	+1	+1	+1	+1	Knjiga je predobra!
+1	+1	+1	+1	+1	+1	zanimljivo :)
+1	+1	+1	+1	+1	+1	Pročitala, preporučujem! :)
+1	+1	+1	+1	+1	+1	uuuu ovo mora da je dobro..
-1	-1	-1	-1	+M	+1	Film je ništa u odnosu na knjigu.
+NS	+NS	+NS	+NS	-NS	+NS	`oće l` kera?
+NS	+NS	+NS	+NS	-1	-NS	ta uđte zaboga
+1	+1	+1	+1	+1	+1	Ludilo koji zaplet sa Beatles-ima zombijima :>> Mogao bi dobar strip da se napravi po knjizi.. .. ali Yoko Ono nindža lord 8. nivoa lol
+NS	+NS	+NS	+NS	+M	+1	Zombi trend se nastavlja. Pored ovoga u pripremi je i Pride and Prejudice and Zombies (http://www.imdb.com/title/tt1374989/) sa Natali Portman i World War Z. Mada ni vampiri ne zaostaju. Priprema se Abraham Lincoln: Vampire Hunter (http://www.imdb.com/title/tt1611224/).
+1	+1	+1	+1	+1	+1	najjjjjjjjj pisac hvala mu za našu pažnju
+1	+1	+1	+1	+1	+1	E Tom je super još samo da vidim haka omg :)
+M	+M	+M	+M	+M	+1	Hak i Tom e da ta knjiga ima rado bih je čitao da je Mark Tven barem još ziv :( ali njegove knjige će biti uvek poznate >:)
+NS	+1	+NS	+NS	+1	+1	ovo sam planirala da posedujem i biće moja već sutra !
-M	-M	+M	-M	-M	+M	Čitam knjigu koja je odlična, zameram izdavaču previše slovnih grešaka (kao i u Knjizi mrtvih duša - isuviše grešaka i greškica, pa čak i materijalnih...)
+1	+1	+1	+1	+1	+1	Sjajna knjiga, jedna od onih koje se pamte...
+1	+1	+1	+1	+1	+1	Trenutno je čitam…. biće nezaboravna!!!
+1	+1	+1	+1	+1	+1	Upravo sam je pročitala i mogu reći da sam totalno iznenađena krajem! Moja preporuka! Fenomenalna knjiga!
+1	+1	+1	+1	+1	+1	Odlična knjiga, baš juče sam završila čitanje. Osećajna, dirljiva, čudesna. Definitivno preporučujem!
+1	+1	+1	+1	+1	+1	Upravo sam pročitala i odmah potražila dojmove drugih jer sam naprosto očarana. Izvrsna knjiga s neočekivanim završetkom. Jedna od onih knjiga koje ostave izniman trag te prostor za razmišljanje i preispitivanje!
+1	+1	+1	+1	+1	+1	grčka mitologija <3
+1	+1	+1	+1	+1	+1	:) da, super! ali najbolji je link na film, haha ;)
+NS	+NS	+M	+NS	+1	+1	hihi :)
+1	+1	+1	+1	+M	+1	Super knjiga, samo još nije izašao 5 deo!
+1	+1	+1	+1	+1	+1	Zvuči interesantno.
+1	+1	+NS	+1	+1	+1	baš bih volela da imam ovu knjigu. Mogla bih svašta da naučim, a i mama se sprema za kviz pa bi joj dobrodošla. Još da saznamo koliko košta .?
+NS	+NS	+1	+NS	+1	+1	jedva čekam =)
+1	+1	+1	+1	+1	+1	Jeee! Obožavam Murakamija :)
+1	+1	+1	+1	+1	+1	Pravo osveženje iz Vukovog pera, Dr. Aron je bio stvarna ličnost oko kojeg su se okupljali tadašnji disidenti. Drašković je još jednom pokazao da je sjajan poznavalac ljudske (ne)prirode. Odlično. Preporuka čak i za one koji ne vole lik (pogotovo) i dela V.D.
+1	+1	+NS	+NS	+1	+1	baš bih volela da pročitam ovu knjigu. počela je sa emitovanjem i serija pod istim nazivom. pošto sam skoro počela da se bavim pisanjem ova knjiga bi mi dobro došla
+1	+1	+1	+1	+1	+1	odlična si
+1	+1	+1	+1	+1	+1	ona priča nebeska reka je super
+1	+1	+1	+1	+1	+1	ne mogu da verujem kakva je knjiga malo je reći da je fantastična… treba je svako pročitati da vide šta su joj od života uradili...
+1	+1	+1	+1	+1	+1	knjiga je vrh
+1	+1	+NS	+NS	+1	+1	s obzirom da znam devojku i da mi je pričala šta se sve događalo.. knjigu sam morao da pročitam dva puta...
+1	+1	+1	+1	+1	+1	Pročitala sam je u jednom dahu, danas.. Bukvalno nisam mogla da se odvojim od knjige.
+1	+1	+1	+1	+1	+1	Knjiga je savršena, i veoma poučna, trebalo bi da je pročitaju sve mlade devojke....
+1	+1	+1	+1	+1	+1	fantastično
+1	+1	+1	+M	+1	+1	savršeno…… treba je pročitati i moliti Boga da nikad ne doživite tako nešto.
+1	+1	+1	+1	+1	+1	Ovu knjigu sam pročitala pre sedam godina…. savršena je....
+1	+1	+1	+1	+1	+1	super je
+1	+1	+1	+1	+1	+1	knjiga je savršena.
-1	-1	-1	-1	-1	-NS	Kako to šta su joj uradili od života?.....zar svako SAM ne bira svoj životni put, što se potvrdilo i u ovom slučaju...
+1	+1	+1	+1	+1	+1	DAVNO SAM PROČITALA KNJIGU, PRE 5/6 GODINA SIGURNO. I OVIH DANA PONOVO/ DIVNA KNJIGA.
+1	+1	+1	+1	+1	+1	knjiga je fenomenalna čitala sam je pre 7 god, 2 puta i ponovo bih je čitala.
+1	+1	+1	+1	+1	+1	pre, pre dobra knjigaaa nemam rečiii :)))
+1	+1	+1	+1	+1	+1	fantastična knjiga
+1	+1	+1	+1	+1	+1	tragično, dirljivo, poučno...
-NS	-NS	-NS	-NS	+1	-NS	ma nisam razumela na koji način ta devojka je završila tu u haremu??? jel bila prisiljena jel moguće i to?? nisam pročitala knjigu pa ne znam…. otkud ona tu?? možda je njena radoznalost odvela tamo...
+NS	+1	+1	+1	+1	-NS	čitajući o njenom životu u haremu shvatimo da treba da budemo zahvalni što smo tu gde jesmo i što nije i nas zadesila ista sudbina… mada ono što je suđeno to mora da se desi...
+1	+1	+1	+1	+1	+1	knjiga je prelepa..
+1	+1	+1	+1	+1	+1	Sjajna knjiga… Za svaku pohvalu je njena hrabrost da iznese ispovest u javnost....
+1	+1	+1	+1	+1	+1	knjiga je..... savršena... divim se devojci koja je to doživela i preživela, svaka čast...
+M	+M	+1	+1	+M	+1	"Tanja" hvala na ispovesti, i ne mislim da bi ekranizacija knjige ugrozila tvoj identitet, neke stvari mogu malo da se izmene. Ovu knjigu bih uvela kao školsku lektiru!! Kakve gluposti nam deca čitaju u skoli, ovo bi bila odlična lekcija. SVAKA ČAST!!!
+NS	+NS	+NS	+NS	+1	+NS	Gde mogu naći knjigu da pročitam ima li je na netu. Zamolio bih nekoga ko zna da mi pošalje stranicu..
+1	+1	+1	+1	+1	+1	Sjajno, genijalno, dirljivo, poučno VRH
+NS	+NS	+NS	+NS	+1	+NS	Na ovom sajtu možete besplatno preuzimati: <a href="http://www.korisnaknjiga.com/elektronske-knjige">elektronske knjige</a>. Kolekcija od oko 2500 eknjiga na jednom mestu. Sve slobodno za download.
+1	+1	+1	+1	+1	+1	juhu dolazimo ! :)
+1	+1	+1	+1	+1	+1	suuper! družimo se! :)
+M	+M	+M	+1	+M	+1	ovo je jedina prava istorija hiphop-a tako da tišina…… obožavam ovu knjigu...
+NS	+NS	+NS	+NS	+NS	+NS	Miko javi se
-NS	-NS	-NS	+NS	-NS	+NS	Šta Mika, evo ja se javljam :alien:
+1	+1	+1	+1	+1	+1	zabavno, francuski šarmantno, dovitljivo! dobra lektira za zimski period ali i za plažu!
+1	+1	+1	+1	+1	+1	"Ko lovi večnost žrtvuje samoću" čitat iz romana najlepši način opisuje suštinu romana Otmenost ježa, koji na najdivniji način opisuje život kao trenutačno stanje kroz koje svakog trenutka prolazimo i odlazimo u sadašnjost.
-NS	-NS	-NS	-NS	-1	-NS	José de Sousa Saramago je portugalski pisac!!!
+1	+1	+1	+1	-1s	+1	Odlično, ispravili ste grešku!
+1	+1	+1	+1	+1	+1	Odlična knjiga.
+NS	+NS	+NS	+NS	+1	+1	Odmah naručujem! Jel ima ovo da se kupi u IPS-u? :)
+NS	+NS	+NS	+NS	+1	+NS	@Kathy: čula sam da može da se nađe kod kolportera na Spensu :)
-1s	-1s	+1s	-1s	+1	+NS	Ima! oko 3000000 maraka košta
+NS	+1	+NS	+NS	+1	+1	Sutra je moja!
+1	+NS	+NS	+NS	+1	+NS	Kathy, draga, naravno da ima u IPS-u! ;)
+1	+1	+1	+1	+1	+1	stiže mi danas <3
+1	+1	+1	+1	+1	+NS	suuper, nadam se da ti se sviđa!
+1	+1	+M	+1	+1	+1	odlična za fanove :)
-1	-1	-1	-1	-1	-NS	Hoću da kupim knjigu i apsolutno ne postoji nigde!!!! Ne mogu da verujem!! Ako neko može da mi pomogne pišite!
+NS	+NS	+NS	+NS	+NS	+NS	Gde može da se kupi knjiga u Beogradu ?
+NS	+NS	+NS	+NS	+NS	+NS	Gde dotična knjiga, o dr Housu, može da se kupi u Novom Sadu?!
+1	+1	+1	+1	+1	+1	Divno si opisala vreme u kome smo ziveli..........
-1	-1	-1	-1	-1	-NS	Gde mogu da kupim knjige Justejn Gordera. Imam "Sofijin svet", "Devojka sa pomorandžama", "Misterija pasijansa" i "Zamak u pirinejima". Tražim po sajtovima, knjižarama, buvljacima..... Ne mogu da verujem da je štampano tako malo knjiga.
+M	+M	+M	+M	+1	+1	Za sve one koji su voleli "Đavo nosi Pradu", ovo je must! Zabavan, ženski, o smotanoj junakinji i njenim ljubavnim putešestvijima. Za sve koji vole takvu literaturu svakako za preporuku, a oni pretenciozniji neka je prosto zaobiđu.
+1	+1	+1	+1	+1	+1	ova knjiga je super !
+1	+1	+1	+1	+1	+1	Fantastična knjiga, dostojna svake preporuke!
-1	-1	-1	-1	-1	-1	Da islamska zajednica nije digla frku retko ko bi kupio tu knjigu. Pocela sam da je čitam (dobila sam je na poklon) i nakon prvih tridesetak stranica shvatila sam da bi bila na nivou dela Danijele Stil - da nije tako dosadna!
+1	+1	+1	+1	+1	+1	Književni sladokusci, ako se do sad niste sreli sa Luom, onda ga brže-bolje potražite! Ko bi očekivao od ovako "ledenog" Nordijca da napiše tako tople knjige. Pametne. Duhovite. Evropske a ipak svetske. Uživanje!
+NS	+NS	+NS	+NS	+NS	+NS	Da li može da se naruči ova knjiga?
+NS	+NS	+NS	+NS	+NS	+1	Koje je knjige ona objavljivala, hvala :DD
+1	+1	+1	+1	+1	+1	volite dodate knjiga koja je pomerila granice...:) ovo je naj
-1	-1	-1	-1	-1	-1	Knjiga mi se ne sviđa, pročitao sam toliko nagrađivanih naslova ali ovaj nije vredan nikakve nagrade!!!!!!!!!
+1	+1	+1	+1	+1	+1	odlična je
-1s	-1s	-1	-1	-1	+1s	Ljubav pedofila i NIMFOMANKE?! Neko nije čitao knjigu :D
-1	-1	-M	-1	-1	-NS	Pedofil da, ali ovo drugo... wth? :/ :)
-1	-1	-1	-1	-1	-NS	oteto detinjstvo od strane jednog pedofila, "zašto ne mogu da pozovem moju majku ako to želim" , "zato što je ona mrtva" dovoljno govori.
+NS	+NS	+NS	+NS	+NS	+NS	zna li neko gde je moguće kupiti ovu knjigu?
+1	+1	+1	+1	+1	+1	Neverovatan roman, pun je emocija, Ilja Iljič me je čak rasplakao zbog prevelike dobrote i nepokvarenosti.
+1	+1	+1	+1	+1	+1	Verovatno najlepši i najmuzikalniji Murakamijev roman gde je sav minimalizam njegove proze romantično sliven u misteriju. Jazz roman o jazz ljubavi.
+NS	+NS	+NS	+NS	+NS	+1	kupujem knjigu Hieronymus Bosh
+M	+M	+1	+M	+M	+1	PRIPOVETKA SMRT U VENECIJI JE SUPER JOŠ DA JE I FILM TAKO DOBAR
+NS	+NS	+NS	+NS	+NS	+NS	GDE JE MOGU NABAVITI?!
-1	-1	-1	-1	-1	-1	Dajte malo spejsa između reči.
