+1	﻿+1	﻿+1	﻿+1	﻿+1	﻿+1	Sjajna mi je scena kad se Odin naljuti i pošalje Tora na zemlju. Fantastično!
+M	+M	-M	+M	+1	+1	Što ovako niska ocena pa film nije loš. Mada ne treba očekivati klasičnog Sherloka. Ovo je Holms na steroidima i ko zna čemu još :)
-1	-1	-1	-1	-1	-1	Strašno kakvi se filmovi danas snimaju. Samo specijalni efekti i ništa više. Žali bože izgubljenog vremena
-M	-M	-M	-M	-M	+M	Kad vidim trejler dođe mi da pogledam film. Ovi ameri samo kasape filmove o mitovima i legendama ali uvek me navuku zanimljivim trejlerima. Ne znam samo kad su poslednji put nešto dobro uradili.
-1	-M	-1	-NS	-NS	-1	Ne sećam se kad sam gledao neki dobar film sa valbergom. Beše to jako davno
+1	+1	+1	+1	+1	+1	Ako očekujete akciju u stilu filma Taken onda ovo nije film za vas. U pitanju je drama tj. borba čoveka protiv prirode i to je prilično realistično urađeno. Cela ekipa je odlična. Sve u svemu preporuka za film
+1	+1	+1	+1	+1	+1	E ovo nije za decu već odrasle. Otkačen humor totalno u Depovom stilu.
-1	-1	-1	-1	-1	-1	Koji smor od filma. Mnogo ispod klasika tipa omen ili exorcist
-M	-M	-1	-M	-1	-1	Volim Liama Nisona ali ovo mu je stvarno loš film. Priča je slaba, režija još gora, jeftini akcioni trikovi... Sve u svemu dosadan film.
-1	-1	-1	-1	-1	-1	loš film
+M	+M	-M	+M	+M	+M	Nije loš film ali nije na nivou taken. Taken je meka akcionih filmova
+NS	-NS	+NS	+NS	+NS	+NS	o čemu se ovde radi? Vredi li gledati?
-1	-1	-1	-1	-1	-1	Snežana je promašena totalno. Cura je mnogo bledunjava i sigurno nije lepša od Šarliz Teron. Inače film je ispod proseka
-1	-1	-1	-1	-1	-1	Još jedan film koji se pogleda i odmah zaboravi. Trebalo je da znam čim sam video onu bledunjavu kristen.
-NS	+NS	+NS	-NS	+NS	+NS	neNsi* izvinjavam se :)
-1	-1	-1	-1	-M	-1	Koji smor od filma. Ne znam zbog čega tolika frka. Japanska verzija je mnogo bolja
+1	+1	+1	+1	+1	+1	Nisam gledao prvi film ali sad kad sam video ovaj moraću ga pogledati :). Iskidao sam se
+1	+1	+1	+1	+1	+1	Jedna od boljih komedija u poslednje vreme. Sifler je car. Čovek drži ceo film :).
+1	+1	+1	+1	+1	+1	Ovaj film neće razočarati fanove ovog filmskog serijala. Film ima sav onaj poznati humor ali najvažnije ima i srce. Smejao sam se tokom celog filma ali mislim da su prva 3 minuta najsmešnija.
-1	-1	-1	-1	+1	+NS	Nekom se neće svideti ali nažalost ovo je slika mladosti u srbiji. Eksplicitne scene seksa i nasilja su čini se tu samo da privuku ili šokiraju. Valjda se autor vodio onim bolje da se priča makar i negativno nego da se ne priča uopšte
-1	-M	-M	-1	-M	-M	Akcija i efekti su odlični ali ništa novo i definitivno ne opravdavaju ostatak filma. Dijalozi su užasni, vanzemaljci neviđeno glupi kao i sama priča. Film je očigledno namenjen deci. Samo za ljubitelje efekata i besmislene akcije.
-1	-1	-1	-1	-1	-1	Jbt koliko ovakvih filmova. Pa dajte nešto novo. Ovi ameri samo štancuju totalno iste filmove. Gledao bitku za LA i smorio se posle 5 min ovo vala neću
-M	+M	-M	+M	+M	+1	Ovo je zajedno sa prvom najbolja nemoguća misija u serijalu. Mada malo je zeznuo stvar i malo pokvario utisak sa onim pominjanjem nas. Pa zašto smo mi uvek negativci ...
+1	+1	+1	+1	+1	+1	Ima čovek 5 banki al je još dobar
-M	-M	+M	-M	+1	+1	Dobar film, sa dobrim tempom ali mislim da je ipak original bolji. Noomi Rapace je ipak jači lik od glumice u američkoj verziji
+1	+1	+1	+1	+1	+1	Osvežavajuće, skroz pozitivno, duhovito... čista desetka !
+1	+1	+1	+1	+1	+1	Ko je željan malo odmora od američkih blokbastera ovo je pravi film. Dobra gluma, dobra fotografija i lepe lokacije. Film prikazuje socijalne razlike u francuskoj i baziran je na istinitoj priči ali nije uopšte težak. Treba pogledati
+M	+M	+1	+1	+1	+1	Fasbender odličan kao magneto. Ovo je još i najbolje u X MEN seriji filmova
-M	-M	-1	-M	-1	-1	Ovaj film je izuzetno dosadan. Ne znam čemu ovoliko visoka ocena. Po meni jedna slaba šestica. Ova mala Mila je dobra jedino u ludim 70tim.
+M	+M	+1	+1	+1	+1	Odličan film. Nije klasična šablonska romantična komedija koje ameri štancuju u poslednje vreme.
-1	-1	-1	-1	-1	-1	Koji smor od filma. Ovi šta god maznu iz evrope upropaste. Kad će već jednom naučiti
+1	+1	+1	+1	+1	+1	Sjajan film <3 Leonardo <3
+1	+1	+1	+1	+1	+1	Odličan je film! Svima koji nisu gledali preporučujem da gledaju obavezno u 3D! Pravi doživljaj :) <3
-1	-1	-1	-1	-1	-1	O bože pa dokle više s tim Titanikom. Ovo samo na brzo premotavanje može da se gleda
+1	+1	+1	+1	+1	+1	Guy Pearce odličan, nešto kao die hard u svemiru. Ko očekuje opuštenu zabavu i akciju preporučujem film.
+1	+M	+M	+M	+1	+Ms	Klasična SF trešina ali nema šanse da ne gledam. Lik Beson zna da ubode pravu stvar a još i kod nas snimano pa šta ćeš više. Ne znam samo kako naši ne mogu da naprave tako nešto a očigledno imaju gde
-M	-M	-M	-M	-1	-M	Ne shvatam otkud toliko loženje na avengers. Film je ok ali daleko od savršenog i čudi me da je uspeo da pređe milijardu u zaradi. Mada i ne čudi me kad znam koliko je Titanik zaradio. Meni je Nolanov Betmen mnogo jači film.
+1	+1	+1	+1	+1	+1	Najbolje od marvelovih ekranizacija do sada. Najbolje izdanje Hulka do sada. Ovako su ga trebali predstaviti i u ranijim filmovima. Robert Dauni po običaju odličan i dodaje dosta humora u film.
+M	+M	+M	+M	+1	+1	Nema šta ovaj put su uboli kako treba. Trejler me nije nešto oduševio ali zato film jeste. Svega ima u pravoj meri. Hulk i kapetan amerika deluju mnogo ubedljivije ovde nego u svojim filmovima. Zajedno sa Nolanovim betmenom najbolji film o superherojima.
+M	+M	+M	+M	+M	+1	Uh jedva čekam da puste ovo kod nas. Ove godine samo Tor je bio valjao a gvozdenog i CA su zeznuli. Po pričama čini se da ovo neće biti loše
+M	-M	+M	-M	+M	+M	Sve, sve ali kapetan amerika izgleda smešno u onom kostimu. Znam da će biti klasična američka razbijačina ali jbg must see za mene
-NS	-NS	-NS	+NS	-NS	-NS	što neće da radi?
+M	+M	+M	+M	+M	+1	Fellowship of the ring je najbolji. Ovo je odmah iza a onaj treći deo su baš zabrljali.
+1	+1	+1	+1	+1	+1	Po mom mišljenju, najbolji deo Gospodara prstenova.
+1	+1	+1	+1	+1	+1	Odlična preporuka, definitivno treba pogledati . Španci stvarno znaju da iznenade. Od čega oni naprave film a da uopšte nije dosadan. Pravi triler a niko nije ubijen
+M	+M	+M	+M	+1	+M	tipično za deppa. ako nisi fan zaobiđi, ako jesi ne propuštaj :p
-1	-1	-1	-1	-1	-1	E koja konfuzija od filma. Ne zna se jel komedija horor ili nešto treće. Zaobići ako cenite svoje vreme
-NS	+NS	+NS	-NS	-1	+1	Rock bi obrisao pod sa dizelom da je prava tuča u pitanju. Veći i jači je od njega vidi se iz aviona.
+M	+M	+M	+NS	+1	+1	E još kad se tome doda i tabačina između roka i vin dizela. Inače navijao sam za dizela moram priznati :)
+1	+1	+1	+1	+1	+1	Odličan izbor. Najbolji film iz ff serije. Em se radnja odigrava u brazilu em sve pršti od akcije. Šta još čovek da poželi
+M	+M	+M	+M	+1	+1	Ovo jako liči na mercury rising. Malo konfuzno na početku ali sve u svemu ko voli akciju sasvim ok. Više ispaljenih metaka nego izgovorenih reči :)
+M	+M	+M	+M	+1	+M	Ovaj Mel je stvarno faca. Možda je pijandura i nasilnik ali stvarno zna da napravi film. Imao je on i promašaja ali zato ovaj film je loodilo. Odlično mu stoje ovakve uloge disturbed ali cool likova koji se odlično snalaze gde god da ih baciš.
+M	+M	+1	+M	+1	+1	Posle nekoliko loših filmova konačno jedan dobar Gibsonov film. Drama, akcija, dobro zezanje. Pravi film za opuštanje.
+1	+1	+1	+1	+1	+1	Mel is back :). Posle lude jurnjave glavnog lika hvata policija i završava u meksičkom zatvoru. A zatvor je totalna ludnica. Pored robijaša tu žive i žene sa decom, organizuju se zabave, trgovina i ko zna šta sve ne. Haos film sa otkačenim humorom, dobrom muzikom i akcijom
+M	+M	+M	-M	+1	+1	U celini gledano borat je smešniji mada je i ovde bilo dobrih scena.
+1	+1	+M	+1	+1	+1	Čujem da je još bolji od Borata mada nije humor za svakoga. Trejler je odličan :)
-1	-1	-1	-1	-1	-1	Glupog li filma, a još i 2 sata traje..
+1	+1	+1	+1	+1	+1	Konačno pravi sf film sa idejom. U svakom slučaju mnogo bolje od transformersa i bojnog broda ...
-1	-1	-M	-1	-1	-1	Šteta mogao je biti dobar film ali scenario je baš tanak.
+M	+M	-M	-M	+M	+M	Fasbender je odličan kao David. Ostali malo manje. Šarliz je totalno prazna. Uopšte ne znam šta je radila u filmu osim što stvarno dobro izgleda :)
-M	+M	+M	-M	+1	+M	Film i nije tako loš kao što kažu neki ali otkud tako visoka ocena. Po meni između 7 i 8
+M	+M	+M	+M	+1	+M	Jeste u pravu su oni koji kažu da likovi nisu dovoljno razrađeni i da se ponašaju nelogično u nekim situacijama, međutim Ridli Skot je ipak majstor i film je bolji od većine SF smeća koje danas prave. Vredi pogledati.
-M	-M	-M	-M	-M	+M	Gledao u 3D. Jel moguće da se ništa nije popravilo. Pa ovakav 3D je bio i pre 10 godina. Cvikeri su katastrofa i žuljaju. Ne bacajte pare gledajte 2D verziju. Film inače i nije toliko loš.
-NS	-NS	+NS	+NS	-NS	+NS	E ovo sam toliko čekao a svi nešto kritikuju. Jel gledao neko?
-1	-1	-1	-1	-1	-1	Ja stvarno ne znam ko ovo može da gleda. Onaj haselhof je neverovatno antipatičan i netalentovan a film bar po reklami deluje neviđeno debilno
-M	-M	-1	-M	-1	-1	Slažem se. I ja se smorih žešće. Koji je ovo trip. Lynch je majstor za ovakve filmove ali Kopola očigledno nije
-M	-M	-1	-M	-1	-1	Samo ako ste veliki fanovi kopole. Posle kuma nikad ne bih očekivala da će napraviti ovakav smor od filma
-1	-1	-1	-1	-1	-1	Kako je loš film! Ne mogu da verujem!!
+NS	+NS	+NS	+NS	+1	+1	Spajdi je izgleda krenuo dobro na bioskopskim blagajnama
+1	+1	+1	+1	+1	+1	Trejler dobro izgleda. Jedva čekam :))
-M	-M	-1	-M	-1	-1	Joj kako je ovaj film smorio. Delovalo je interesantno na trejlerima ali zato je bilo naporno za gledanje.
-1	-1	-1	-1	-1	-1	Gadno.
+M	+M	+M	+1	+M	+1	The dark knight rises je prešao po zaradi milijardu $. Po meni je i bolji od prethodnog filma. Šteta što nolan neće raditi još neki deo.
+1	+1	+1	+1	+1	+1	Ma nije razvučen. Sve je to s razlogom, film je epski. Jedva čekam DVD rip pa ću ponovo da ga gledam. Inače kraj je odličan.
-M	-M	-M	-M	+1	+M	Film je dobar, ali predugačak. Čini se kao da je 80% filma uvod, pa ispada razvučen.
+1	+1	+1	+1	+1	+1	Odličan film. Možda neće zaraditi kao avengers ali je ovo film za zreliju publiku. Fala bogu da nisu ubacili robina. To bi sve pokvarilo
+M	+M	+M	+M	+1	+1	Malo je spor na početku ali kad krene akcija je sasvim kako treba. I kraj filma je pravi :)
+1	+1	+1	+1	+1	+1	Odličan film. Ova trilogija je najzreliji film iz ovog žanra. Nolanu svaka čast, zadao je domaći ostalima.
+1	+1	+1	+1	+1	+1	Film koji se može gledati i u bioskopu i kod kuće. 3D verzija je odlična.
+M	+M	+M	+M	+M	+1	E konačno i naši da naprave neki triler. Već mi se smučilo kako se kod nas stalno prave isti filmovi. Kojo standarno dobar
+1	+1	+1	+1	+1	+1	E svaka čast za post! Odličan film!
+M	+M	+M	+M	+1	+1	slažem se. ovo je jedan od naših boljih novijih filmova. u svakom slučaju daleko bolji od izvikanog montevidea, ali eto.. kod nas se cene samo izvikane stvari..
+1	+1	+1	+1	+1	+1	Sjajan film. Gledala sam ga na Cinemania festivalu u Novom Sadu i sećam se da je bio pravo iznenađenje. Konačno jedan naš film sa dobrim scenarijem, po ugledu na dobre američke trilere. Za svaku preporuku.
+1	+1	+1	+1	+1	+1	Nema boljeg filma
-1	-1	-1	-1	-1	-M	Šta reći. Ako ste gledali original onda se može reći da ste gledali i ovaj film. Ne znam zašto uopšte prave rimejkove. Jedino su efekti dobri ali to nije dovoljno da opravda gledanje ovog filma
+1	+1	+1	+1	+1	+1	Ovako treba da izgleda akcioni film u kojem i žene mogu da uživaju. Odličan izbor glumaca, odličan zaplet, odlična režija.. ma čista desetka! :)
+M	+1	+M	+M	+M	+1	Šta ste se uhvatili za prevod. Prevod je sasvim dobar. Ima 96 sati da reši stvar. Film je dobar i vredi ga pogledati, to sigurno. a koga briga za prevod.. msm
+M	+M	+M	+M	+M	+1	haha.. slažem se.. kakav glup prevod. nekad je bolje ostaviti originalan naziv. ja bih rekao da je ovo najbolji nisonov film!
+M	+M	+M	+M	+M	+1	Ma ovo je TAKEN. Kako je ovo prevedeno nikad ne bih pogodio šta je u pitanju. Inače odličan Film. Filmčina ...
+1	+1	+1	+1	+1	+1	uuu dobra akcija, nema šta. vredi gledati
+1	+1	+1	+1	+1	+1	Odličan film. Lajam Nison se odlično snašao u ovoj ulozi, iako sam u početku sumnjao da on to može. O režiji da ne govorim, ime govori samo za sebe. Nadam se da će drugi deo biti bar upola tako dobar. :)
-M	-M	-M	-M	-1	+M	Sinoć ga pogledao. Ljubiteljima Poa će se svideti atmosfera u filmu ali mi je nekako ostao taj kraj nedorečen
-1s	-1s	-1s	-1s	-1s	+NS	Još jedna velika uloga Sergeja Trifunovića u trajanju od skoro čitav minut. Čak mi se čini da su ga sinhronizovali :)
+1	+1	+1	+1	+1	+1	Najbolji Sandlerov film! Odličan soundtrack takođe! A Bilijevo pojavljivanje na kraju filma je epohalno :D
+M	-M	+M	-M	-M	-M	Ne znam šta da kažem o ovom filmu. S jedne strane film je neviđeno glup praktično debilan a sa druge strane imate priliku da vidite sve legende akcionih filmova na jednom mestu :).
+NS	+NS	+NS	+NS	+NS	+NS	Čujem da je i Đoković u filmu.
+M	+M	+M	-M	-1	+M	Znam da će biti glup film ali čisto zbog ekipe mora da se gleda.
+1	+1	+1	+M	+1	+1	Uopšte nije loš film. Sasvim se lepo uklopio sa ostalim filmovima o bornu i sklopio neke kockice koje su nedostajale. Ima sasvim dovoljno akcije i napetosti. Ne znam šta su ljudi očekivali
-1	-M	-M	-M	-1	-M	Mnogo sam očekivao od ovog filma ali nekako nije ispunio očekivanja. Mat Dejmon je sa svojom trilogijom baš zadao domaći. Od mene samo 7
+1	+1	+1	+1	+1	+1	Film je prava klanica. Ko voli samuraje ovo je must see.
+1	+1	+1	+1	+1	+1	Moj omiljeni glumac i jedan od njegovih boljih filmova. Savršeno mu leži Dru Barimor :)
+1	+1	+1	+1	+1	+1	Sjajan film. Zabavan, duhovit.. ma Meril Strip je uvek izvanredna :)
+1	+1	+1	+1	+1	+1	Simpatičan film, a i akcenat. :)
-M	-M	-M	-M	-1	+M	Nije loš, ali sam više očekivala...
+1	+1	+1	+1	+1	+1	Pre neki dan bio na televiziji i gledao sam ga po peti put. Kad je nešto dobro jednostavno ne može da dosadi. :)
+1	+1	+1	+1	+1	+1	Sviđa mi se što se radnja dešava u evropi. Konačno da amerika nije centar sveta. Akcije ima taman koliko treba, tempo je odličan a Metu je baš baš legla ova uloga.
+1	+1	+1	+1	+1	+1	Zaboravite bonda Born je prava stvar. Mat Dejmon vrlo ubedljiv u ulozi Borna, plus odlična mjuza. Defintivno must see.
-M	-M	-1	-M	-1	-1	Koji smor od filma. Prosto mi je neverovatno da je postigao toliku gledanost. Neoriginalna priča tj pokahontas i ples sa vukovima. Gluma ništa posebno tako da ostaju samo efekti.
+1	+1	+1	+1	+1	+1	Kraj me je raspametio. Nisam to očekivala.
-M	-M	-M	-1	-1	-M	Da nije dela sa Teslom ovo bi bio dobar film. David Bouvi kao Tesla potpuni promašaj
-1	-1	-1	-1	-1	-1s	Ahahahahaha!!! Da! Ovo ne bi gledali čak ni oni koji se bave plesom :D :D :D
-1	-1	-1	-1	-1	-1	ovo je neviđena glupost!!!
+1	+1	+1	+1	+1	+1	Super mi je ovaj film :) Gledala sam ga 4 puta i opet bih mogla. Romantičan, bajkovit.. taman kako treba :)
+1	+1	+1	+1	+1	+1	Redak slučaj kada je film bolji od knjige.
+1	+1	+1	+1	+1	+1	Drago mi je da ste konačno dodali i ovaj film. Priča je odlična i film zaslužuje da se nađe na listi 20 najboljih.
+1	+1	+1	+1	+1	+1	Dobro reče Rasha D, ovaj mali Levit je izgleda počeo da se pojavljuje u pravim filmovima. Prvo inception pa batman sad looper. Svaka čast postaje mi jedan od omiljenih likova. Brus vilis je naravno standardno dobar.
+1	+1	+1	+1	+1	+1	Ovo vredi gledati. Konačno jedan inteligentan naučno fantastični film koji se bavi putovanjem kroz vreme. Levit je skroz uverljiv kao mladi brus vilis. Odlično je skinuo vilisovu gestikulaciju.
+1	+1	+1	+1	+1	+1	Brz tempo, akcija, dosta sexa, odlična gluma i salma hajek kojoj ni godine ne mogu ništa. Oliver Stone je dokazao da još uvek zna da napravi solidan film
+1	+1	+1	+1	+1	+1	Ben Aflek je pre svega sjajan glumac i zato je i film dobar. Nadam se da će dobiti još jednog oskara.
+M	+M	+M	+M	+1	+1	Ben Aflek ima nos za dobar film. Možda kao glumac i nije nešto posebno, ali zato zna gde i kad treba da se pojavi. Svaka čast.
-1	-1	-1	-1	-1	-1	Joj bože koja smaračina. Sve vreme čekam... rekoh to je onaj od sporijih filmova gde se stvari polako kulminiraju u neku eksplozivnu i dramatičnu završnicu. Kad ono prc... Ceo film se ništa zanimljivo ne dešava ... a takav je i kraj.
-1	-1	-1	-M	-1	-1	Stvarno mi nije jasno šta ljudi vide na ovom liku. Šon Koneri je jedini pravi Bond.
+1	+1	+1	+1	+1	+1	Film je odličan. Drži pažnju iako traje više od 2 sata. A Danijel Craig i dalje deluje moćno :)
-1	-1	-1	-1	-1	-1	Šta reći... očajna gluma, loši dijalozi, spor film. čisto gubljenje vremena
-1	-1	-1	-1	-1	-1	Nije me nešto oduševio. Ne znam zašto prave ovako dugačke filmove. Sporo i konfuzno, na kraju ništa posebno. Ne razumem frku oko filma uopšte
+M	+M	+M	+M	+M	+1	Simpatičan film. Pravi dečiji. Šteta da mi nismo imali tako razvijenu tehnologiju..
+1	+1	+1	+1	+1	+1	Slažem se sa prethodnikom. Odličan film sa neobičnom temom ali jako lepo realizovan.
+1	+1	+1	+1	+1	+1	Odličan film. Vizuelno raskošan. Poezija za oči. Obavezno pogledati
+1	+1	+1	+1	+1	+1	Ipak odličan film. Pribojavao sam se što film toliko dugo traje da će biti razvučen ali nijednog momenta se nisam dosađivao. Film ima sve što treba i predstavlja pravo uživanje i za gledanje i za slušanje.
+1	+1	+1	+1	+1	+1	KULL film :D
+1	+1	+1	+1	+1	+1	Filmčina za sva vremena
-1	-1	-M	-1	-1	-1	Moram priznati očekivao sam više. Trejler je bolji nego film. Ne očekujte ništa originalno, klasičan akcioni film
-1	-1	-1	-1	-1	-1	Joj na šta sam ja izgubio 2 sata života. Čemu ovakvi filmovi. Sve na isti kalup i totalno bez duha.
-1	-1	-1	-1	-1	-1	Toliko sam se smorio da nisam mogao da pogledam film do kraja. Stvarno ne znam kako ovo može da bude zanimljivo bilo kome drugom sem amerima.
+1	+1	+1	+1	+1	+1	Bolje nego što sam očekivao. Nije klasična komedija, ima i elemenata drame. Prepoznaće se svako ko puni 40 :)
-1	-1	-1	-1	-1	-1	Bruse nemoj više molim te. Najgori u seriji a nadajmo se i poslednji
+1	+1	+1	+1	+1	+1	Film je tako dobar da sam ga gledala više puta. Verujte nećete se pokajati ako ga pogledate. Film skoro do perfekcije
+1	+1	+1	+1	+1	+1	Radi se o - veoma dobrom filmu.....
+1	+1	+1	+1	+1	+1	Wow ovo je čudo od filma. Predobar u svakom pogledu.
+1	+1	+1	+1	+1	+1	Najbolji horor film zaslužuje da se rangira najbolje. Bravo za ovo remek delo.
+1	+1	+1	+1	+1	+1	Film je baba-roga... Stvarno je odlično odrađen i, verujte mi, služi svrsi...
+1	+1	+1	+1	+1	+1	Sjajan film, drago mi je što je urađen ovaj ,,prequel'' za ,,Čarobnjaka iz Oza'' i nadam se da će uskoro biti i nastavak...
-1	-1	-1	-1	-1	-M	Sve je to lepo i šareno ali totalno neinteresantno. Uopšte ne angažuje emocije. Bolje preskočiti.
-1	-1	-1	-1	-1	-M	Nije mi jasno zašto ovaj film ima ovako visoku ocenu na IMDb. Ništa posebno čak i dosadan pomalo.
-1	-1	-1	-1	-1	-1	Nije mi baš jasno što ovo tako hvale. Film teško drži pažnju i deluje malo konfuzno. Sve u svemu sporo i ništa posebno.
+1	+1	+1	+1	+1	+1	Odličan crtić baš me oduševio. Jako lepa animacija i lepa topla priča o sukobu generacija.
-1	-1	-1	-1	-1	-1	Bože koje s....e. Od ovih ekranizacija bajki u poslednje vreme, prosto ne znaš koja je gora.
-1	-1	-1	-1	-1	-1	Užas. Ko ovo gleda leba ti.
+1	+1	+1	+1	+1	+1	Uopšte nije loš. Možda mi je čak i bolji od prvog dela
+NS	+NS	+NS	+NS	+NS	+NS	Kad će da stigne dobra verzija ovoga na torrentima?
-1	-1	-1	-1	-1	-1	Ne znam. Milsim da je ovolike pare zaradio na račun avengers-a. I nije mi nešto
-M	+M	+M	-M	+1	+M	Malo bolje od drugog, ali prvi deo je i dalje najbolji.
-1	-M	-1	-1	-1	-1	Očekivao sam bolje. Na početku mnogo sporo a posle previše akcije i uništavanja. Originalni supermen je bio bolji. Imao je šmeka i šarma za razliku od ovog
+M	+M	+1	+1	+1	+1	Mogu reći da sam prijatno iznenađena. Nisam očekivala previše pogotovo zbog prethodnih filmova o supermenu koji izgledaju mnogo neozbiljno ali ova verzija supermena mi se sviđa :)
-1	-1	-1	-1	-1	-1	Otkud 10 za ovo. I 6 je previše.
-1	-1	-1	-1	-1	-1	Pa ovaj film veze nema sa hangover-om. Vidi se da su hteli da uzmu lovu na staru slavu. Najgori deo ubedljivo
+1	+1	+M	+M	+1	+M	Pa i nije tako loše kao što svi pričaju. Uzbudljivo i zabavno, jedino možda više odstupa od knjige.
+1	+1	+1	+1	+1	+1	Lepo vizuelno odrađeno. Povratak korenima naučne fantastike. Bez nepotrebnih eksplozija i akcija sa naglaskom na priču
+1	+1	+1	+1	+1	+1	Ovaj lik što glumi Kana totalno nosi film. Stvarno odličan glumac. Mislio sam da ću ga doživeti kao Šerloka ali skroz je ubedljiv i kao Kan.
+1	+1	+1	+M	+1	+1	Možda malo više akcije nego što je uobičajeno za zvezdane staze ali sasvim dobar film. Na nivou prethodnog dela.
+M	+M	-M	-M	-M	+1	Leonardo je odličan. Stvarno mu stoji ta uloga ali film nije opravdao očekivanja.
-M	-1	-M	-M	-1	-M	Ništa posebno. Sve je šareno i vizuelno lepo ali to je sve. Baš razočarenje.
-1	-1	-1	-1	-1	-1	Baš me nije nešto oduševio. Ovo je više jedan dugački spot nego film. Nekako sve se odvija previše brzo i teško se vezati za likove.
+M	+M	+M	+M	+1	+1	Film je ludilo. Dobro možda su malo preterali sa akcijama ali je svejedno zabavan
+1	+1	+1	+1	+1	+1	Jurnjava, puno akcije i uopšte ni u jednom trenutku nije dosadno a scena u kojoj se Rok i Dizel bore protiv ogromnog negativca je scena zbog koje pravi ljubitelji akcije moraju pogledati film :)
-1	-1	-1	-1	-1	-1	Užas. Apsolutno nikakve originalnosti. Kao da se ništa nije promenilo u horor žanru za 20 godina. Deluje smešno a ne strašno
